Study_Hours,Sleep_Hours,Absences,Attendance_Pct,Quiz_Score,Assignments,GPA_Prev,Part_Time_Job,Passed
3.0,7.1,7,77.8,40.4,4,2.89,Yes,0
7.6,6.9,3,85.8,58.5,8,2.4,No,1
5.9,4.2,4,90.3,47.8,9,1.27,Yes,1
4.8,6.0,3,79.7,57.8,9,3.21,No,1
1.2,6.3,3,79.9,38.2,6,3.02,Yes,0
1.2,6.4,6,82.4,29.6,9,2.66,Yes,0
0.5,7.5,3,88.0,31.3,10,2.53,Yes,0
6.9,7.2,3,92.6,64.7,8,1.25,No,1
4.8,,3,88.5,45.6,5,3.04,Yes,1
5.7,8.6,5,80.0,52.8,7,3.54,No,1
0.2,8.9,3,81.4,28.0,8,1.72,No,0
7.8,8.3,4,83.9,51.6,7,3.44,No,1
6.7,9.7,3,94.8,63.8,6,3.29,Yes,1
1.7,4.1,3,88.3,22.9,6,1.7,No,0
1.5,5.2,6,79.4,39.5,6,2.22,Yes,0
1.5,4.0,4,87.3,47.7,8,1.52,Yes,0
2.4,7.9,7,66.9,31.3,7,2.45,No,0
4.2,9.4,0,100.0,35.8,5,2.81,Yes,1
3.5,5.5,6,74.4,39.2,4,1.58,No,0
2.3,9.6,3,86.7,34.9,5,2.77,Yes,0
4.9,4.4,4,94.5,55.7,7,2.95,No,0
1.1,9.6,3,91.0,33.3,9,2.96,No,1
2.3,6.1,5,76.8,34.8,4,2.82,No,0
2.9,4.6,3,88.3,38.5,8,1.64,No,0
3.6,6.9,2,92.2,33.8,6,2.41,No,1
6.3,5.5,1,100.0,63.6,3,2.75,No,1
1.6,5.7,4,84.2,48.0,5,3.52,No,0
4.1,5.8,9,,35.9,6,2.5,No,0
4.7,8.8,2,85.5,36.5,10,2.8,No,1
0.4,7.2,6,75.8,22.5,7,1.85,Yes,0
4.9,5.9,5,76.2,38.1,3,1.69,No,0
1.4,7.7,3,85.5,20.0,7,1.6,Yes,0
0.5,8.3,3,85.6,15.7,7,2.21,No,0
7.6,5.6,2,88.4,64.3,10,3.94,No,1
7.7,6.5,4,92.7,59.6,5,2.22,No,1
6.5,4.7,3,95.1,61.0,6,2.76,No,1
2.4,5.1,1,,33.3,3,2.89,No,1
0.8,8.1,5,77.6,17.7,7,1.74,No,0
5.5,5.1,4,80.6,51.8,6,2.2,Yes,1
3.5,7.2,7,75.7,34.9,10,2.94,Yes,0
1.0,8.3,4,85.5,34.7,8,2.8,No,0
4.0,4.6,7,,28.9,7,1.1,Yes,0
0.3,7.4,4,86.7,10.0,4,2.92,No,0
7.3,5.5,3,92.5,47.8,6,2.11,No,1
2.1,9.8,0,99.2,31.4,6,2.13,No,0
5.3,6.9,4,80.1,49.8,8,2.78,Yes,1
2.5,8.8,1,89.4,40.7,5,3.57,Yes,0
4.2,7.3,3,89.3,41.2,10,2.36,Yes,0
4.4,4.3,3,98.8,41.9,10,3.33,No,1
1.5,7.8,2,86.4,41.9,10,1.49,No,0
7.8,9.7,5,85.5,73.5,10,2.59,Yes,1
6.2,7.6,5,76.6,63.1,3,2.12,No,1
7.5,8.9,5,77.6,65.4,9,2.7,No,1
7.2,9.3,3,92.6,63.7,10,2.29,No,1
4.8,5.4,4,82.7,40.7,7,1.56,No,0
7.4,5.3,0,100.0,61.9,7,1.88,No,1
0.7,7.7,3,89.1,,4,1.35,No,0
1.6,6.5,3,84.6,22.8,3,1.59,No,0
0.4,9.0,8,72.5,14.7,4,2.84,No,0
2.6,9.4,4,83.7,40.9,5,2.32,No,0
3.1,,4,77.1,42.1,3,2.66,No,0
2.2,5.4,4,79.5,36.1,10,3.77,No,0
6.6,8.7,2,76.4,54.1,10,2.29,No,1
2.9,5.6,5,80.3,25.7,6,2.94,No,0
2.2,8.9,2,98.5,38.1,8,2.52,No,0
4.3,6.5,5,74.8,47.0,10,4.0,Yes,1
1.1,8.0,3,90.9,33.4,7,0.39,Yes,0
6.4,4.6,4,86.2,57.2,4,2.0,No,1
0.6,7.7,6,72.2,34.6,3,2.96,No,1
7.9,6.7,3,95.7,63.4,7,1.97,Yes,1
6.2,7.5,9,62.6,58.3,10,2.9,No,1
1.6,5.0,4,94.1,40.4,6,2.46,No,0
0.0,8.4,4,75.8,24.7,5,3.11,No,0
6.5,9.2,1,94.7,59.7,10,1.71,No,1
5.7,5.3,7,71.2,50.2,6,2.62,No,0
5.8,4.6,4,83.8,53.6,4,2.83,Yes,1
6.2,4.1,4,87.6,68.9,5,2.59,Yes,1
0.6,7.9,4,100.0,33.3,4,2.6,No,0
2.9,7.6,3,,36.8,5,3.34,No,0
0.9,7.3,1,96.1,30.5,8,1.32,No,0
6.9,5.4,3,82.5,49.4,8,2.59,No,1
5.0,6.3,9,54.5,46.5,4,1.65,No,0
2.6,7.6,2,97.9,31.4,8,3.03,No,1
0.5,7.0,7,69.3,29.9,6,1.91,No,0
2.5,9.9,2,100.0,32.5,9,0.77,No,1
2.6,4.8,5,84.3,41.4,7,3.05,No,0
5.8,8.2,0,100.0,59.8,7,2.31,Yes,1
5.1,6.4,3,,47.3,6,2.75,No,1
7.1,6.6,9,66.0,59.1,9,3.5,Yes,1
3.8,8.3,6,72.5,44.2,10,2.76,No,1
1.0,8.2,8,59.2,23.4,5,2.62,No,1
5.7,9.9,5,77.2,53.4,6,2.47,No,1
6.1,4.8,5,79.9,54.2,10,1.7,No,1
4.5,4.6,5,76.8,49.0,6,2.35,No,1
6.2,8.3,2,85.6,62.1,7,3.88,Yes,1
4.0,7.5,9,60.3,31.7,4,2.24,Yes,0
4.2,5.6,5,85.2,35.5,5,2.39,No,0
3.4,4.5,1,99.7,34.4,10,3.38,No,0
